blue_picks,blue_bans,red_picks,red_bans,blue_win,red_win,game_duration,game_version,queue_id,match_id
"['Ambessa', 'Hecarim', 'Cassiopeia', 'Ezreal', 'DrMundo']","['Viktor', 'Rengar', ""Bel'Veth"", 'Akali', 'Riven']","['Kayle', 'Draven', 'Zed', 'Ashe', 'Swain']","['LeBlanc', 'Sylas', 'Poppy', 'Rumble']",False,True,1743,16.3.745.7600,420,NA1_5495300534
"['Yone', 'Vi', 'Ahri', 'Varus', 'Rakan']","['Zoe', 'Master Yi', 'Riven', ""Bel'Veth"", 'Malphite']","['Jax', 'MonkeyKing', 'Azir', 'Jhin', 'Leona']","['Draven', 'Zac', 'Rumble', 'Master Yi', 'Pyke']",False,True,1514,16.2.741.3171,420,NA1_5479570227
"['Rumble', 'JarvanIV', 'Akshan', 'Kaisa', 'Rell']","['Gwen', 'Yasuo', 'Renekton', 'Braum', 'Varus']","['Kayle', 'LeeSin', 'Syndra', 'Corki', 'Nautilus']","['Mel', 'Naafiri', 'Ambessa', 'Lux']",False,True,1835,16.2.741.3171,420,NA1_5483145613
"['Gnar', 'Talon', 'Ahri', 'Ezreal', 'Soraka']","['Gwen', 'Rengar', 'Zac']","['Vayne', 'Vi', 'Anivia', 'Ziggs', 'Poppy']","['Riven', 'Rengar', 'Jayce', 'Akali']",True,False,1682,16.3.744.1639,420,NA1_5484947693
"['Rumble', 'Qiyana', 'Syndra', 'Ezreal', 'Leona']","['Riven', 'Akali', 'Darius', 'Rengar', 'Ambessa']","['Yone', 'Zaahen', 'Orianna', 'Heimerdinger', 'Nautilus']","['Gwen', 'Sona', 'Akali', 'Sivir', 'Jayce']",False,True,1691,16.3.744.7656,420,NA1_5487487472
"['Sion', 'Ambessa', 'Kaisa', 'Pyke', 'Alistar']","['Akali', 'Sylas', 'Gwen', ""Kha'Zix"", 'Fiddlesticks']","['Singed', 'JarvanIV', 'Lucian', 'Vladimir', 'Nami']","['Fiddlesticks', 'Gwen', 'Draven', 'Riven', 'Fiora']",False,True,2156,16.4.746.5697,420,NA1_5495871313
"['Azir', 'Nidalee', 'Corki', 'Jinx', 'Thresh']","['Riven', 'Lux', 'Shaco', 'Ambessa', 'Sona']","['Akali', 'JarvanIV', 'Syndra', 'Ashe', 'Seraphine']","['Pyke', 'Viego', ""Bel'Veth"", 'Rengar', 'Gangplank']",False,True,978,16.3.745.7600,420,NA1_5491157503
"['Varus', 'Jax', 'FiddleSticks', 'Veigar', 'Nami']","['Malphite', ""Kha'Zix"", 'Lux', 'Sivir']","['DrMundo', 'Rengar', 'Ekko', 'Ziggs', 'Sona']","['Kindred', 'Akshan', 'Udyr', 'Sivir', 'Fiora']",False,True,1588,16.2.741.3171,420,NA1_5482516627
"['Riven', 'DrMundo', 'Orianna', 'Corki', 'Alistar']","['Rengar', 'Shaco', 'Twitch', 'Draven', 'Zac']","['Fiora', 'Jayce', 'Karthus', 'Kaisa', 'Pyke']","['Poppy', 'Braum', 'Rengar', 'Ambessa']",True,False,1186,16.3.744.1639,420,NA1_5484938621
"['Tryndamere', 'Kayn', 'Diana', 'Kaisa', 'Rakan']","['Lux', 'Riven', 'Viktor', ""Bel'Veth"", 'Yasuo']","['Malphite', 'LeeSin', 'Talon', 'Zilean', 'Bard']","['Sivir', 'LeBlanc', ""Rek'Sai"", 'Sona', 'Shaco']",True,False,1710,16.3.744.7656,420,NA1_5487832460
"['MasterYi', 'Jayce', 'Veigar', 'Swain', 'Leona']","['Kassadin', 'Draven', ""Kha'Zix"", 'Sylas', 'Rengar']","['Renekton', 'Viego', 'Ekko', 'Ezreal', 'Neeko']","['Ambessa', 'Lux', 'Braum', ""Bel'Veth"", 'Fiora']",False,True,1793,16.3.745.7600,420,NA1_5491958613
"['Fiora', 'Khazix', 'TwistedFate', 'Ashe', 'Seraphine']","['Rengar', 'Fiddlesticks', 'Yasuo']","['Udyr', 'Jayce', 'Talon', 'Ziggs', 'Pantheon']","['Nunu & Willump', 'Zoe', 'Karma', 'Poppy', 'Draven']",False,True,930,16.2.741.3171,420,NA1_5480424560
"['Ambessa', 'Vi', 'TwistedFate', 'Ezreal', 'Amumu']","['Sylas', 'Fizz', 'Sona', 'Rengar', 'Yasuo']","['Riven', 'Gwen', 'Ahri', 'Kaisa', 'Morgana']","['Zac', 'Irelia', 'Kennen', 'Pyke', 'Nautilus']",True,False,2076,16.3.744.1639,420,NA1_5484972379
"['KSante', 'Khazix', 'Irelia', 'Varus', 'Velkoz']","[""Bel'Veth"", 'Yasuo', 'Gwen', 'Sona']","['Volibear', 'Jayce', 'Viktor', 'Mel', 'Lux']","['Sivir', 'Naafiri', 'Akali', 'Rengar', 'Urgot']",True,False,1812,16.3.745.7600,420,NA1_5493547595
"['Rumble', 'Graves', 'TwistedFate', 'Senna', 'Thresh']","['Sona', 'Naafiri', 'Gwen', 'Nasus', 'Fiddlesticks']","['Teemo', 'XinZhao', 'Taliyah', 'Aphelios', 'Braum']","['Syndra', 'Rengar', 'Sion', 'Katarina', 'Nautilus']",True,False,975,16.4.746.5697,420,NA1_5495970891
"['Gangplank', 'Aatrox', 'Akali', 'Aphelios', 'Leona']","['Mel', 'Sona', 'Renekton', 'Rengar']","['Jax', 'Ambessa', 'Anivia', 'Ziggs', 'Soraka']","['Zed', 'Nautilus', 'Shaco', 'Nunu & Willump', 'Draven']",False,True,1669,16.2.741.3171,420,NA1_5479520790
"['Kennen', 'Jayce', 'Karma', 'Kaisa', 'Thresh']","['Gwen', 'Varus', 'Vladimir', 'Mel', ""Kha'Zix""]","['Zaahen', 'Sylas', 'Zilean', 'Jhin', 'Pyke']","['Akali', 'Ambessa', 'Mel', 'Blitzcrank', 'Jax']",True,False,2074,16.3.744.7656,420,NA1_5487087153
"['Vayne', 'Pantheon', 'Aurora', 'Ziggs', 'Sona']","['Jayce', 'Morgana', 'Sivir', 'Gangplank', 'Fiddlesticks']","['Fiora', 'Khazix', 'Akali', 'Varus', 'Thresh']","['Taliyah', 'Tryndamere', 'Nunu & Willump', 'Udyr', 'Lux']",True,False,1215,16.2.741.3171,420,NA1_5477049251
"['Riven', 'Sylas', 'TwistedFate', 'Caitlyn', 'Bard']","['Nunu & Willump', 'Rengar', 'Sona', 'Draven', 'Jayce']","['Kled', 'Talon', 'Naafiri', 'Swain', 'Renata']","['Varus', ""Cho'Gath"", 'Karma', 'Irelia', 'Nidalee']",True,False,1518,16.2.741.3171,420,NA1_5482860189
"['Ambessa', 'Vi', 'Katarina', 'Vladimir', 'Thresh']","['Riven', 'Zed', 'Fiddlesticks', 'Sona', 'Rengar']","['Jax', 'Kindred', 'Jayce', 'Ezreal', 'Bard']","['Yunara', 'Graves', 'Gwen', 'Zed', 'Rumble']",False,True,1884,16.4.746.5697,420,NA1_5495825836
